year,spy_return,agg_return,blended_return
2004,0.10697983671931333,0.037832815241124695,0.07932102812803787
2005,0.048282234990204564,0.022645991083857897,0.038027737427665895
2006,0.15845248896141695,0.03896620417328478,0.11065797504616408
2007,0.05146225627582002,0.06594877957020562,0.05725686559357426
2008,-0.3679501200297557,0.07899990806600465,-0.18917010879145152
2009,0.26351764476497075,0.029691771861555027,0.16998729560360445
2010,0.15056161093442544,0.06362215507043545,0.11578582858882944
2011,0.01894999293432642,0.07696712479795442,0.04215684567977762
2012,0.1599033093015927,0.03754921574651737,0.11096167187956256
2013,0.32307804049984945,-0.019777541010727928,0.18593580789561848
2014,0.13463775295628944,0.05998653227939488,0.10477726468553161
2015,0.012342761402411195,0.004806428126697071,0.009328228092125546
2016,0.11997927385329121,0.024138425158899413,0.08164293437553449
2017,0.21705397157787942,0.03552741697848716,0.1444433497381225
2018,-0.045689944487900536,0.003407373103081701,-0.02605101745150764
2019,0.31223841685976805,0.08455643749610564,0.2211656251143031
2020,0.18331639678551448,0.07476126939320649,0.13989434582859128
2021,0.2872873340396753,-0.01766088153964862,0.16530804780794575
2022,-0.18175363308193182,-0.1302162950880974,-0.16113869788439805
2023,0.2617580088990743,0.056553076396401725,0.17967603589800527
2024,0.24886449684446155,0.013092399622905537,0.15455565795583914
2025,0.17719076276968249,0.07191789404599302,0.13508161528020668
